{'01044099999': -10.0, '02293099999': -27.6}
         312338 function calls (307852 primitive calls) in 0.710 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    128/1    0.001    0.000    0.709    0.709 {built-in method builtins.exec}
        1    0.000    0.000    0.709    0.709 load.py:1(<module>)
       13    0.000    0.000    0.702    0.054 __init__.py:1(<module>)
    173/3    0.001    0.000    0.405    0.135 <frozen importlib._bootstrap>:1165(_find_and_load)
    172/3    0.001    0.000    0.405    0.135 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    153/3    0.001    0.000    0.402    0.134 <frozen importlib._bootstrap>:666(_load_unlocked)
    126/3    0.000    0.000    0.402    0.134 <frozen importlib._bootstrap_external>:934(exec_module)
    363/6    0.000    0.000    0.398    0.066 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     17/7    0.000    0.000    0.312    0.045 {built-in method builtins.__import__}
        1    0.012    0.012    0.301    0.301 load.py:49(get_all_temperatures)
    33650    0.258    0.000    0.282    0.000 load.py:35(get_file_temperatures)
    47/20    0.000    0.000    0.257    0.013 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        2    0.000    0.000    0.150    0.075 exceptions.py:1(<module>)
        2    0.000    0.000    0.111    0.055 api.py:1(<module>)
      126    0.001    0.000    0.101    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.085    0.085 sessions.py:1(<module>)
        1    0.000    0.000    0.082    0.082 adapters.py:1(<module>)
        1    0.000    0.000    0.069    0.069 client.py:1(<module>)
  153/149    0.000    0.000    0.064    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.064    0.064 compat.py:1(<module>)
    24/21    0.000    0.000    0.060    0.003 <frozen importlib._bootstrap_external>:1231(create_module)
    24/21    0.057    0.002    0.060    0.003 {built-in method _imp.create_dynamic}
      126    0.000    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        3    0.001    0.000    0.056    0.019 utils.py:1(<module>)
        1    0.000    0.000    0.056    0.056 _base_connection.py:1(<module>)
        1    0.052    0.052    0.052    0.052 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.045    0.045 ssl_.py:1(<module>)
      126    0.044    0.000    0.044    0.000 {method 'read' of '_io.BufferedReader' objects}
       73    0.001    0.000    0.042    0.001 __init__.py:272(_compile)
       72    0.000    0.000    0.042    0.001 __init__.py:225(compile)
       69    0.000    0.000    0.041    0.001 _compiler.py:740(compile)
  410/407    0.008    0.000    0.040    0.000 {built-in method builtins.__build_class__}
      126    0.000    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.040    0.040 ssl.py:1(<module>)
      126    0.039    0.000    0.039    0.000 {built-in method marshal.loads}
  363/356    0.020    0.000    0.038    0.000 {built-in method __new__ of type object at 0x7fffff753e80}
      171    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      168    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
      168    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
        1    0.000    0.000    0.030    0.030 cookiejar.py:1(<module>)
      394    0.003    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
        1    0.000    0.000    0.028    0.028 compat.py:18(_resolve_char_detection)
        3    0.000    0.000    0.028    0.009 __init__.py:108(import_module)
        3    0.000    0.000    0.028    0.009 <frozen importlib._bootstrap>:1192(_gcd_import)
        1    0.000    0.000    0.025    0.025 connectionpool.py:1(<module>)
        1    0.000    0.000    0.024    0.024 parser.py:1(<module>)
        1    0.000    0.000    0.024    0.024 feedparser.py:1(<module>)
        1    0.000    0.000    0.023    0.023 cd.py:1(<module>)
        1    0.000    0.000    0.023    0.023 url.py:1(<module>)
       69    0.000    0.000    0.023    0.000 _parser.py:979(parse)
        1    0.000    0.000    0.023    0.023 _policybase.py:1(<module>)
   333/69    0.001    0.000    0.023    0.000 _parser.py:456(_parse_sub)
   450/74    0.009    0.000    0.022    0.000 _parser.py:516(_parse)
        2    0.000    0.000    0.021    0.011 request.py:1(<module>)
        2    0.000    0.000    0.021    0.010 core.py:1(<module>)
      735    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      738    0.020    0.000    0.020    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.019    0.019 ssl_.py:216(create_urllib3_context)
       20    0.000    0.000    0.019    0.001 enum.py:499(__new__)
        1    0.000    0.000    0.018    0.018 _request_methods.py:1(<module>)
        1    0.000    0.000    0.018    0.018 ssl.py:492(__new__)
      189    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      202    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.018    0.018 hmac.py:1(<module>)
        5    0.000    0.000    0.018    0.004 enum.py:242(__set_name__)
        4    0.000    0.000    0.018    0.004 ssl.py:461(__new__)
        4    0.018    0.004    0.018    0.004 {built-in method _ssl.txt2obj}
       69    0.000    0.000    0.017    0.000 _compiler.py:573(_code)
    67530    0.015    0.000    0.015    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.015    0.015 tempfile.py:1(<module>)
   812/69    0.004    0.000    0.014    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.014    0.014 packages.py:1(<module>)
       24    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
        1    0.000    0.000    0.014    0.014 shutil.py:1(<module>)
       24    0.013    0.001    0.013    0.001 {built-in method _imp.exec_dynamic}
      126    0.013    0.000    0.013    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.010    0.010 certs.py:1(<module>)
    45448    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.008    0.008 socket.py:1(<module>)
        1    0.000    0.000    0.008    0.008 header.py:1(<module>)
        2    0.000    0.000    0.007    0.003 models.py:1(<module>)
        1    0.000    0.000    0.007    0.007 hashlib.py:1(<module>)
       14    0.000    0.000    0.007    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.007    0.007 lzma.py:1(<module>)
      409    0.004    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
        3    0.000    0.000    0.006    0.002 response.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _common.py:1(<module>)
        1    0.000    0.000    0.005    0.005 core.py:21(where)
        1    0.000    0.000    0.005    0.005 zipfile.py:1(<module>)
       10    0.000    0.000    0.005    0.000 enum.py:895(_convert_)
    33878    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
     6446    0.002    0.000    0.004    0.000 _parser.py:261(get)
        1    0.000    0.000    0.004    0.004 datetime.py:1(<module>)
       16    0.002    0.000    0.004    0.000 enum.py:1668(convert_class)
  151/144    0.000    0.000    0.004    0.000 typing.py:373(inner)
        1    0.000    0.000    0.004    0.004 bz2.py:1(<module>)
        2    0.000    0.000    0.004    0.002 connection.py:1(<module>)
      153    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
        1    0.000    0.000    0.004    0.004 queue.py:1(<module>)
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
     2014    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.004    0.002 hashlib.py:82(__get_builtin_constructor)
